Product name,Product Description,Original Price,Discounted Price,Price Change
Nanushka,Hide vegan leather puffer jacket,3115,3115.0,0.0
Marine Serre,graphic-print long-sleeve top,2160,2160.0,0.0
Solace London,Marlowe off-shoulder dress,2995,2336.1,658.9000000000001
SPANX,faux-leather high-rise leggings,655,510.90000000000003,144.09999999999997
Marine Serre,Wee Tee cropped T-shirt,815,635.7,179.29999999999995
We11done,logo-print crew-neck sweatshirt,1650,1287.0,363.0
ROTATE,logo-print chunky-knit jumper,1320,1029.6000000000001,290.39999999999986
Polo Ralph Lauren,Polo Bear cotton T-shirt,930,725.4,204.60000000000002
Frankie Shop,Perla shirt jacket,1715,1337.7,377.29999999999995
FRAME,Denim Le High straight leg jeans,930,725.4,204.60000000000002
GANNI,floral-jacquard minidress,1685,1314.3,370.70000000000005
Marc Jacobs,embroidered logo sweatshirt,1035,1035.0,0.0
HommeGirls,layered raw-hem miniskirt,1735,1353.3,381.70000000000005
Canada Goose,Cypress down-filled short jacket,4410,4410.0,0.0
Alexander Wang,logo-waistband cropped hoodie,1745,1745.0,0.0
Reformation,fruit-print Kourtney midi dress,2005,1563.9,441.0999999999999
Balmain,logo-print metallic T-shirt,2756,2756.0,0.0
FRAME,Le Palazzo wide-leg trousers,1710,1710.0,0.0
Valentino,Crepe Couture bow-detail short dress,28000,28000.0,0.0
ZIMMERMANN,Pattie floral-print dress,3235,2523.3,711.6999999999998
ZIMMERMANN,Kaleidoscope wide-leg trousers,4415,3443.7000000000003,971.2999999999997
AMI Paris,Ami de Coeur wool cardigan,4700,4700.0,0.0
ZIMMERMANN,Anneke wrap-front dress,4680,3650.4,1029.6
AGOLDE,'90s Pinch Waist straight-leg jeans,1205,1205.0,0.0
AGOLDE,sleeveless tank top,635,495.3,139.7
Canada Goose,Merritt hooded parka coat,7705,7705.0,0.0
TOTEME,Regular-fit vintage-wash jeans,840,840.0,0.0
Solace London,Marlowe off-shoulder dress,3610,2815.8,794.1999999999998
ZIMMERMANN,Kaleidoscope Spliced blouse,4230,3299.4,930.5999999999999
GANNI,floral-print ruched shirt,1625,1267.5,357.5
Polo Ralph Lauren,cable-knit long-sleeved jumper,950,741.0,209.0
Marine Serre,crescent moon knitted trousers,3690,3690.0,0.0
Polo Ralph Lauren,logo-embroidered sweatshirt-dress,1355,1056.9,298.0999999999999
Maison Kitsuné,embroidered-logo polo shirt,775,604.5,170.5
Alexander Wang,oversized denim blazer,7800,7800.0,0.0
Versace,Greca-trim swim top,1665,1665.0,0.0
Frankie Shop,Bea tailored cropped trousers,1335,1041.3,293.70000000000005
J.Lindeberg,high-waisted graphic-print skirt,520,405.6,114.39999999999998
Reformation,Ocean halterneck mini dress,1937,1510.8600000000001,426.1399999999999
Reformation,floral-print sleeveless dress,1885,1470.3,414.70000000000005
Jacquemus,Le Alzou cropped cardigan,995,995.0,0.0
Mugler,semi-sheer strapless dress,10740,10740.0,0.0
Alexander Wang,strap-detail straight-leg jeans,2710,2710.0,0.0
ZIMMERMANN,floral-print tiered midi dress,3560,2776.8,783.1999999999998
Reformation,Cowboy high-waist wide-leg jeans,1105,861.9,243.10000000000002
Pleats Please Issey Miyake,plissé-detail short-sleeved top,1792,1397.76,394.24
Alexander Wang,ruffle-trim smocked mini dress,6495,6495.0,0.0
Marine Serre,crescent moon V-neck cardigan,2880,2246.4,633.5999999999999
Solace London,Martina off-shoulder gown,3065,2390.7000000000003,674.2999999999997
RUI,asymmetric cut-out vest top,1890,1474.2,415.79999999999995
GANNI,floral-print flared mini dress,1605,1251.9,353.0999999999999
ZIMMERMANN,Anneke cuffed shorts,2225,1735.5,489.5
SPANX,high-rise flared trousers,1030,803.4,226.60000000000002
Alexander Wang,square-neck minidress,2700,2700.0,0.0
Reformation,Tai gingham mini dress,2227,1737.0600000000002,489.9399999999998
GANNI,wide-leg cropped trousers,1530,1193.4,336.5999999999999
MOTHER,The Tomcat ankle-length jeans,3002,2341.56,660.44
AMI Paris,Ami de Coeur sweatshirt,3100,3100.0,0.0
The North Face,Denali fleece jacket,1307,1019.46,287.53999999999996
AREA,crystal-embellished cropped jacket,12920,12920.0,0.0
ZIMMERMANN,Kaleidoscope minidress,7675,5986.5,1688.5
The North Face,Gotham hooded jacket,2276,1775.28,500.72
Frankie Shop,Bea tailored trousers,1888,1888.0,0.0
Alexander Wang,all-over logo-print jacket,4390,4390.0,0.0
Alexander Wang,balloon-leg track pants,1230,1230.0,0.0
SPANX,faux leather skinny trousers,815,635.7,179.29999999999995
Canada Goose,Roxboro hooded puffer coat,6250,6250.0,0.0
AGOLDE,high-rise straight-leg jeans,1490,1162.2,327.79999999999995
MACH & MACH,bow-detail polo dress,6246,6246.0,0.0
Marine Serre,Crescent Moon organic cotton tank top,760,760.0,0.0
Pleats Please Issey Miyake,straight-leg cropped trousers,2670,2082.6,587.4000000000001
ANINE BING,logo-print long-sleeve sweatshirt,1470,1146.6000000000001,323.39999999999986
Reformation,A-line silk skirt,1162,906.36,255.64
KNWLS,October silk mini skirt,3120,2433.6,686.4000000000001
Balmain,cropped logo-print T-shirt,1705,1705.0,0.0
Mugler,semi-sheer strapless dress,10740,10740.0,0.0
Sweaty Betty,tapered track pants,835,651.3000000000001,183.69999999999993
Pendleton,patterned jacquard beach towel,1211,944.58,266.41999999999996
Alexander Wang,strap-detail straight-leg jeans,2710,2710.0,0.0
ZIMMERMANN,floral-print tiered midi dress,3560,2776.8,783.1999999999998
Jacquemus,single-breasted zip-fastening blazer,4020,4020.0,0.0
Pleats Please Issey Miyake,plissé-detail short-sleeved top,1792,1397.76,394.24
Alexander Wang,ruffle-trim smocked mini dress,6495,6495.0,0.0
Marine Serre,crescent moon V-neck cardigan,2880,2246.4,633.5999999999999
RUI,asymmetric cut-out vest top,1890,1474.2,415.79999999999995
GANNI,floral-print flared mini dress,1605,1251.9,353.0999999999999
ZIMMERMANN,Anneke cuffed shorts,2225,1735.5,489.5
Moncler,Suyen hooded quilted jacket,14850,14850.0,0.0
Alexander Wang,square-neck minidress,2700,2700.0,0.0
MOTHER,The Tomcat ankle-length jeans,3002,2341.56,660.44
Polo Ralph Lauren,Polo Bear striped jumper,1645,1283.1000000000001,361.89999999999986
AMI Paris,Ami de Coeur sweatshirt,3100,3100.0,0.0
AREA,crystal-embellished flower detail T-shirt,2320,2320.0,0.0
Sweaty Betty,Mellow layered midi dress,860,670.8000000000001,189.19999999999993
Canada Goose,Rossclair hooded parka coat,8140,8140.0,0.0
Frankie Shop,Karina cropped T-shirt,525,409.5,115.5
Balmain,rib-knit cardigan,7670,7670.0,0.0
Polo Ralph Lauren,Polo Pony-embroidered sweatshirt,745,581.1,163.89999999999998
The North Face,Denali fleece jacket,1307,1019.46,287.53999999999996
Reformation,Liene A-line mini skort,1307,1019.46,287.53999999999996
Reformation,Julius silk dress,2050,2050.0,0.0
Issey Miyake,winding ruched-detail midi dress,7850,6123.0,1727.0
AREA,crystal-embellished cropped jacket,12920,12920.0,0.0
ZIMMERMANN,Kaleidoscope minidress,7675,5986.5,1688.5
The North Face,Gotham hooded jacket,2276,1775.28,500.72
Frankie Shop,Bea tailored trousers,1888,1888.0,0.0
Alexander Wang,all-over logo-print jacket,4390,4390.0,0.0
SPANX,faux leather skinny trousers,815,635.7,179.29999999999995
Simone Rocha,bead-embellished cropped cardigan,4552,4552.0,0.0
Miaou,Micro front-slit miniskirt,1549,1208.22,340.78
AGOLDE,high-rise straight-leg jeans,1490,1162.2,327.79999999999995
MACH & MACH,bow-detail polo dress,6246,6246.0,0.0
Marine Serre,Crescent Moon organic cotton tank top,760,760.0,0.0
Charo Ruiz Ibiza,Cindy lace-trim maxi dress,4315,3365.7000000000003,949.2999999999997
Pleats Please Issey Miyake,straight-leg cropped trousers,2670,2082.6,587.4000000000001
